LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,PISAREAD,BOY,MEANSCORE,A,2018,487
AUS,PISAREAD,GIRL,MEANSCORE,A,2018,519
AUS,PISAREAD,TOT,MEANSCORE,A,2018,503
AUT,PISAREAD,BOY,MEANSCORE,A,2018,471
AUT,PISAREAD,GIRL,MEANSCORE,A,2018,499
AUT,PISAREAD,TOT,MEANSCORE,A,2018,484
BEL,PISAREAD,BOY,MEANSCORE,A,2018,482
BEL,PISAREAD,GIRL,MEANSCORE,A,2018,504
BEL,PISAREAD,TOT,MEANSCORE,A,2018,493
BRA,PISAREAD,BOY,MEANSCORE,A,2018,400
BRA,PISAREAD,GIRL,MEANSCORE,A,2018,426
BRA,PISAREAD,TOT,MEANSCORE,A,2018,413
CAN,PISAREAD,BOY,MEANSCORE,A,2018,506
CAN,PISAREAD,GIRL,MEANSCORE,A,2018,535
CAN,PISAREAD,TOT,MEANSCORE,A,2018,520
CHE,PISAREAD,BOY,MEANSCORE,A,2018,469
CHE,PISAREAD,GIRL,MEANSCORE,A,2018,500
CHE,PISAREAD,TOT,MEANSCORE,A,2018,484
CHL,PISAREAD,BOY,MEANSCORE,A,2018,442
CHL,PISAREAD,GIRL,MEANSCORE,A,2018,462
CHL,PISAREAD,TOT,MEANSCORE,A,2018,452
COL,PISAREAD,TOT,MEANSCORE,A,2018,412
COL,PISAREAD,BOY,MEANSCORE,A,2018,407
COL,PISAREAD,GIRL,MEANSCORE,A,2018,417
CRI,PISAREAD,TOT,MEANSCORE,A,2018,426
CRI,PISAREAD,BOY,MEANSCORE,A,2018,419
CRI,PISAREAD,GIRL,MEANSCORE,A,2018,434
CZE,PISAREAD,BOY,MEANSCORE,A,2018,474
CZE,PISAREAD,GIRL,MEANSCORE,A,2018,507
CZE,PISAREAD,TOT,MEANSCORE,A,2018,490
DEU,PISAREAD,BOY,MEANSCORE,A,2018,486
DEU,PISAREAD,GIRL,MEANSCORE,A,2018,512
DEU,PISAREAD,TOT,MEANSCORE,A,2018,498
DNK,PISAREAD,BOY,MEANSCORE,A,2018,486
DNK,PISAREAD,GIRL,MEANSCORE,A,2018,516
DNK,PISAREAD,TOT,MEANSCORE,A,2018,501
EST,PISAREAD,BOY,MEANSCORE,A,2018,508
EST,PISAREAD,GIRL,MEANSCORE,A,2018,538
EST,PISAREAD,TOT,MEANSCORE,A,2018,523
FIN,PISAREAD,BOY,MEANSCORE,A,2018,495
FIN,PISAREAD,GIRL,MEANSCORE,A,2018,546
FIN,PISAREAD,TOT,MEANSCORE,A,2018,520
FRA,PISAREAD,BOY,MEANSCORE,A,2018,480
FRA,PISAREAD,GIRL,MEANSCORE,A,2018,505
FRA,PISAREAD,TOT,MEANSCORE,A,2018,493
GBR,PISAREAD,BOY,MEANSCORE,A,2018,494
GBR,PISAREAD,GIRL,MEANSCORE,A,2018,514
GBR,PISAREAD,TOT,MEANSCORE,A,2018,504
GRC,PISAREAD,BOY,MEANSCORE,A,2018,437
GRC,PISAREAD,GIRL,MEANSCORE,A,2018,479
GRC,PISAREAD,TOT,MEANSCORE,A,2018,457
HUN,PISAREAD,BOY,MEANSCORE,A,2018,463
HUN,PISAREAD,GIRL,MEANSCORE,A,2018,489
HUN,PISAREAD,TOT,MEANSCORE,A,2018,476
IDN,PISAREAD,BOY,MEANSCORE,A,2018,358
IDN,PISAREAD,GIRL,MEANSCORE,A,2018,383
IDN,PISAREAD,TOT,MEANSCORE,A,2018,371
IRL,PISAREAD,BOY,MEANSCORE,A,2018,506
